Year,Month,Week Days Number,Website
2020,September,27,https://coinmarketcap.com/historical/20200927/
2020,October,4,https://coinmarketcap.com/historical/20201004/
2020,October,11,https://coinmarketcap.com/historical/20201011/
2020,October,18,https://coinmarketcap.com/historical/20201018/
2020,October,25,https://coinmarketcap.com/historical/20201025/
2020,November,1,https://coinmarketcap.com/historical/20201101/
2020,November,8,https://coinmarketcap.com/historical/20201108/
2020,November,15,https://coinmarketcap.com/historical/20201115/
2020,November,22,https://coinmarketcap.com/historical/20201122/
2020,November,29,https://coinmarketcap.com/historical/20201129/
2020,December,6,https://coinmarketcap.com/historical/20201206/
2020,December,13,https://coinmarketcap.com/historical/20201213/
2020,December,20,https://coinmarketcap.com/historical/20201220/
2020,December,27,https://coinmarketcap.com/historical/20201227/
2021,January,3,https://coinmarketcap.com/historical/20210103/
2021,January,10,https://coinmarketcap.com/historical/20210110/
2021,January,17,https://coinmarketcap.com/historical/20210117/
2021,January,24,https://coinmarketcap.com/historical/20210124/
2021,January,31,https://coinmarketcap.com/historical/20210131/
2021,February,7,https://coinmarketcap.com/historical/20210207/
2021,February,14,https://coinmarketcap.com/historical/20210214/
2021,February,21,https://coinmarketcap.com/historical/20210221/
2021,February,28,https://coinmarketcap.com/historical/20210228/
2021,March,7,https://coinmarketcap.com/historical/20210307/
2021,March,14,https://coinmarketcap.com/historical/20210314/
2021,March,21,https://coinmarketcap.com/historical/20210321/
2021,March,28,https://coinmarketcap.com/historical/20210328/
2021,April,4,https://coinmarketcap.com/historical/20210404/
2021,April,11,https://coinmarketcap.com/historical/20210411/
2021,April,18,https://coinmarketcap.com/historical/20210418/
2021,April,25,https://coinmarketcap.com/historical/20210425/
2021,May,2,https://coinmarketcap.com/historical/20210502/
2021,May,9,https://coinmarketcap.com/historical/20210509/
2021,May,16,https://coinmarketcap.com/historical/20210516/
2021,May,23,https://coinmarketcap.com/historical/20210523/
2021,May,30,https://coinmarketcap.com/historical/20210530/
2021,June,6,https://coinmarketcap.com/historical/20210606/
2021,June,13,https://coinmarketcap.com/historical/20210613/
2021,June,20,https://coinmarketcap.com/historical/20210620/
2021,June,27,https://coinmarketcap.com/historical/20210627/
2021,July,4,https://coinmarketcap.com/historical/20210704/
2021,July,11,https://coinmarketcap.com/historical/20210711/
2021,July,18,https://coinmarketcap.com/historical/20210718/
2021,July,25,https://coinmarketcap.com/historical/20210725/
2021,August,1,https://coinmarketcap.com/historical/20210801/
2021,August,8,https://coinmarketcap.com/historical/20210808/
2021,August,15,https://coinmarketcap.com/historical/20210815/
2021,August,22,https://coinmarketcap.com/historical/20210822/
2021,August,29,https://coinmarketcap.com/historical/20210829/
2021,September,5,https://coinmarketcap.com/historical/20210905/
2021,September,12,https://coinmarketcap.com/historical/20210912/
2021,September,19,https://coinmarketcap.com/historical/20210919/
2021,September,26,https://coinmarketcap.com/historical/20210926/
2021,October,3,https://coinmarketcap.com/historical/20211003/
2021,October,10,https://coinmarketcap.com/historical/20211010/
2021,October,17,https://coinmarketcap.com/historical/20211017/
2021,October,24,https://coinmarketcap.com/historical/20211024/
2021,October,31,https://coinmarketcap.com/historical/20211031/
2021,November,7,https://coinmarketcap.com/historical/20211107/
2021,November,14,https://coinmarketcap.com/historical/20211114/
2021,November,21,https://coinmarketcap.com/historical/20211121/
2021,November,28,https://coinmarketcap.com/historical/20211128/
2021,December,5,https://coinmarketcap.com/historical/20211205/
2021,December,12,https://coinmarketcap.com/historical/20211212/
2021,December,19,https://coinmarketcap.com/historical/20211219/
2021,December,26,https://coinmarketcap.com/historical/20211226/
2022,January,2,https://coinmarketcap.com/historical/20220102/
2022,January,9,https://coinmarketcap.com/historical/20220109/
2022,January,16,https://coinmarketcap.com/historical/20220116/
2022,January,23,https://coinmarketcap.com/historical/20220123/
2022,January,30,https://coinmarketcap.com/historical/20220130/
2022,February,6,https://coinmarketcap.com/historical/20220206/
2022,February,13,https://coinmarketcap.com/historical/20220213/
2022,February,20,https://coinmarketcap.com/historical/20220220/
2022,February,27,https://coinmarketcap.com/historical/20220227/
2022,March,6,https://coinmarketcap.com/historical/20220306/
2022,March,13,https://coinmarketcap.com/historical/20220313/
2022,March,20,https://coinmarketcap.com/historical/20220320/
2022,March,27,https://coinmarketcap.com/historical/20220327/
2022,April,3,https://coinmarketcap.com/historical/20220403/
2022,April,10,https://coinmarketcap.com/historical/20220410/
2022,April,17,https://coinmarketcap.com/historical/20220417/
2022,April,24,https://coinmarketcap.com/historical/20220424/
2022,May,1,https://coinmarketcap.com/historical/20220501/
2022,May,8,https://coinmarketcap.com/historical/20220508/
2022,May,15,https://coinmarketcap.com/historical/20220515/
